[5b691437]   size: 5175638
[5b691437]   split: train
[5b691437]   timestamp: 1693685678.7132297
[5b691437]   type: negative_sampling
[5b691437] Finished epoch 21.
[5b691437] Saving checkpoint to kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00021.pt...
[5b691437] Removing old checkpoint kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00005.pt...
[5b691437] Starting epoch 22...

[5b691437]   batch   109/40434, avg_loss 3.4205E+02, penalty 1.3649E+02, cost 4.7853E+02, time   0.07s[K
[5b691437]   batch   110/40434, avg_loss 2.0306E+02, penalty 1.3649E+02, cost 3.3955E+02, time   0.07s[K
[5b691437]   batch   111/40434, avg_loss 3.2272E+02, penalty 1.3649E+02, cost 4.5921E+02, time   0.07s[K
[5b691437]   batch   112/40434, avg_loss 2.1204E+02, penalty 1.3649E+02, cost 3.4852E+02, time   0.07s[K
[5b691437]   batch   113/40434, avg_loss 3.1096E+02, penalty 1.3649E+02, cost 4.4745E+02, time   0.07s[K
[5b691437]   batch   114/40434, avg_loss 4.0986E+02, penalty 1.3649E+02, cost 5.4635E+02, time   0.07s[K
[5b691437]   batch   115/40434, avg_loss 3.7389E+02, penalty 1.3649E+02, cost 5.1038E+02, time   0.07s[K
[5b691437]   batch   116/40434, avg_loss 3.3920E+02, penalty 1.3649E+02, cost 4.7569E+02, time   0.07s[K
[5b691437]   batch   117/40434, avg_loss 2.3172E+02, penalty 1.3649E+02, cost 3.6821E+02, time   0.07s[K
[5b691437]   batch   118/40434, avg_loss 4.5247E+02, penalty 1.3649E+02, cost 5.8896E+02, time   0.07s[K
[5b691437]   batch   119/40434, avg_loss 4.8483E+02, penalty 1.3649E+02, cost 6.2131E+02, time   0.07s[K
[5b691437]   batch   120/40434, avg_loss 3.1800E+02, penalty 1.3649E+02, cost 4.5449E+02, time   0.07s[K
[5b691437]   batch   121/40434, avg_loss 2.5503E+02, penalty 1.3649E+02, cost 3.9152E+02, time   0.07s[K
[5b691437]   batch   122/40434, avg_loss 3.5891E+02, penalty 1.3649E+02, cost 4.9540E+02, time   0.07s[K
[5b691437]   batch   123/40434, avg_loss 2.2895E+02, penalty 1.3649E+02, cost 3.6543E+02, time   0.07s[K
[5b691437]   batch   124/40434, avg_loss 4.9326E+02, penalty 1.3649E+02, cost 6.2974E+02, time   0.07s[K
[5b691437]   batch   125/40434, avg_loss 3.1754E+02, penalty 1.3649E+02, cost 4.5403E+02, time   0.07s[K
[5b691437]   batch   126/40434, avg_loss 2.6934E+02, penalty 1.3649E+02, cost 4.0583E+02, time   0.07s[K
[5b691437]   batch   127/40434, avg_loss 4.4425E+02, penalty 1.3649E+02, cost 5.8073E+02, time   0.07s[K
[5b691437]   batch   128/40434, avg_loss 2.9252E+02, penalty 1.3649E+02, cost 4.2901E+02, time   0.07s[K
[5b691437]   batch   129/40434, avg_loss 3.1194E+02, penalty 1.3649E+02, cost 4.4843E+02, time   0.07s[K
[5b691437]   batch   130/40434, avg_loss 5.5679E+02, penalty 1.3649E+02, cost 6.9328E+02, time   0.07s[K
[5b691437]   batch   131/40434, avg_loss 4.2833E+02, penalty 1.3649E+02, cost 5.6481E+02, time   0.07s[K
