[ce3179e0]   size: 5175638
[ce3179e0]   split: train
[ce3179e0]   timestamp: 1694252356.9043162
[ce3179e0]   type: negative_sampling
[ce3179e0] Finished epoch 39.
[ce3179e0] Saving checkpoint to kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00039.pt...
[ce3179e0] Removing old checkpoint kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00038.pt...
[ce3179e0] Starting epoch 40...

[ce3179e0]   batch   161/40434, avg_loss 1.0820E+03, penalty 2.4040E-03, cost 1.0820E+03, time   0.07s[K
[ce3179e0]   batch   162/40434, avg_loss 1.0497E+03, penalty 2.4040E-03, cost 1.0497E+03, time   0.07s[K
[ce3179e0]   batch   163/40434, avg_loss 7.0187E+02, penalty 2.4040E-03, cost 7.0187E+02, time   0.07s[K
[ce3179e0]   batch   164/40434, avg_loss 1.7962E+03, penalty 2.4040E-03, cost 1.7962E+03, time   0.07s[K
[ce3179e0]   batch   165/40434, avg_loss 7.7955E+02, penalty 2.4040E-03, cost 7.7956E+02, time   0.07s[K
[ce3179e0]   batch   166/40434, avg_loss 1.3496E+03, penalty 2.4040E-03, cost 1.3496E+03, time   0.07s[K
[ce3179e0]   batch   167/40434, avg_loss 8.5204E+02, penalty 2.4040E-03, cost 8.5204E+02, time   0.07s[K
[ce3179e0]   batch   168/40434, avg_loss 1.0772E+03, penalty 2.4040E-03, cost 1.0772E+03, time   0.07s[K
[ce3179e0]   batch   169/40434, avg_loss 4.9100E+02, penalty 2.4040E-03, cost 4.9101E+02, time   0.07s[K
[ce3179e0]   batch   170/40434, avg_loss 7.5383E+02, penalty 2.4040E-03, cost 7.5383E+02, time   0.07s[K
[ce3179e0]   batch   171/40434, avg_loss 1.0541E+03, penalty 2.4040E-03, cost 1.0541E+03, time   0.07s[K
[ce3179e0]   batch   172/40434, avg_loss 1.2158E+03, penalty 2.4040E-03, cost 1.2158E+03, time   0.07s[K
[ce3179e0]   batch   173/40434, avg_loss 6.9335E+02, penalty 2.4040E-03, cost 6.9335E+02, time   0.07s[K
[ce3179e0]   batch   174/40434, avg_loss 7.3699E+02, penalty 2.4040E-03, cost 7.3699E+02, time   0.07s[K
[ce3179e0]   batch   175/40434, avg_loss 1.0981E+03, penalty 2.4040E-03, cost 1.0981E+03, time   0.07s[K
[ce3179e0]   batch   176/40434, avg_loss 1.2315E+03, penalty 2.4040E-03, cost 1.2315E+03, time   0.07s[K
[ce3179e0]   batch   177/40434, avg_loss 8.8232E+02, penalty 2.4040E-03, cost 8.8232E+02, time   0.07s[K
[ce3179e0]   batch   178/40434, avg_loss 5.3899E+02, penalty 2.4040E-03, cost 5.3899E+02, time   0.07s[K
[ce3179e0]   batch   179/40434, avg_loss 5.6918E+02, penalty 2.4040E-03, cost 5.6918E+02, time   0.07s[K
[ce3179e0]   batch   180/40434, avg_loss 5.7397E+02, penalty 2.4040E-03, cost 5.7397E+02, time   0.07s[K
[ce3179e0]   batch   181/40434, avg_loss 1.1350E+03, penalty 2.4040E-03, cost 1.1350E+03, time   0.07s[K
[ce3179e0]   batch   182/40434, avg_loss 1.2525E+03, penalty 2.4040E-03, cost 1.2525E+03, time   0.07s[K
[ce3179e0]   batch   183/40434, avg_loss 1.2629E+03, penalty 2.4040E-03, cost 1.2629E+03, time   0.07s[K
[ce3179e0]   batch   184/40434, avg_loss 7.2863E+02, penalty 2.4040E-03, cost 7.2863E+02, time   0.07s[K
[ce3179e0]   batch   185/40434, avg_loss 1.5119E+03, penalty 2.4040E-03, cost 1.5119E+03, time   0.07s[K
[ce3179e0]   batch   186/40434, avg_loss 5.9244E+02, penalty 2.4040E-03, cost 5.9245E+02, time   0.07s[K
[ce3179e0]   batch   187/40434, avg_loss 7.0864E+02, penalty 2.4040E-03, cost 7.0864E+02, time   0.07s[K
[ce3179e0]   batch   188/40434, avg_loss 6.5430E+02, penalty 2.4040E-03, cost 6.5430E+02, time   0.07s[K
[ce3179e0]   batch   189/40434, avg_loss 9.3914E+02, penalty 2.4040E-03, cost 9.3914E+02, time   0.07s[K
[ce3179e0]   batch   190/40434, avg_loss 9.4347E+02, penalty 2.4040E-03, cost 9.4347E+02, time   0.07s[K
[ce3179e0]   batch   191/40434, avg_loss 1.1848E+03, penalty 2.4040E-03, cost 1.1848E+03, time   0.07s[K
[ce3179e0]   batch   192/40434, avg_loss 1.5047E+03, penalty 2.4040E-03, cost 1.5047E+03, time   0.07s[K
[ce3179e0]   batch   193/40434, avg_loss 9.9910E+02, penalty 2.4040E-03, cost 9.9910E+02, time   0.07s[K
[ce3179e0]   batch   194/40434, avg_loss 9.9639E+02, penalty 2.4040E-03, cost 9.9639E+02, time   0.07s[K
[ce3179e0]   batch   195/40434, avg_loss 9.8210E+02, penalty 2.4040E-03, cost 9.8210E+02, time   0.07s[K
[ce3179e0]   batch   196/40434, avg_loss 9.7650E+02, penalty 2.4040E-03, cost 9.7650E+02, time   0.07s[K
[ce3179e0]   batch   197/40434, avg_loss 1.6787E+03, penalty 2.4040E-03, cost 1.6787E+03, time   0.07s[K
[ce3179e0]   batch   198/40434, avg_loss 9.8634E+02, penalty 2.4040E-03, cost 9.8635E+02, time   0.07s[K
[ce3179e0]   batch   199/40434, avg_loss 7.2763E+02, penalty 2.4040E-03, cost 7.2763E+02, time   0.07s[K
[ce3179e0]   batch   200/40434, avg_loss 1.4097E+03, penalty 2.4040E-03, cost 1.4097E+03, time   0.07s[K
