[52d34630]   size: 5175638
[52d34630]   split: train
[52d34630]   timestamp: 1692578274.4507034
[52d34630]   type: 1vsAll
[52d34630] Finished epoch 123.
[52d34630] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00123.pt...
[52d34630] Removing old checkpoint /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00122.pt...
[52d34630] Starting epoch 124...

[52d34630]   batch   124/40434, avg_loss 1.2265E+01, penalty 1.1841E-12, cost 1.2265E+01, time   0.01s[K
[52d34630]   batch   125/40434, avg_loss 1.2648E+01, penalty 1.3716E-12, cost 1.2648E+01, time   0.01s[K
[52d34630]   batch   126/40434, avg_loss 1.2179E+01, penalty 1.1198E-12, cost 1.2179E+01, time   0.01s[K
[52d34630]   batch   127/40434, avg_loss 1.1630E+01, penalty 9.2699E-13, cost 1.1630E+01, time   0.01s[K
[52d34630]   batch   128/40434, avg_loss 1.3560E+01, penalty 1.5312E-12, cost 1.3560E+01, time   0.01s[K
[52d34630]   batch   129/40434, avg_loss 1.2779E+01, penalty 1.6284E-12, cost 1.2779E+01, time   0.01s[K
[52d34630]   batch   130/40434, avg_loss 1.2840E+01, penalty 1.4376E-12, cost 1.2840E+01, time   0.01s[K
[52d34630]   batch   131/40434, avg_loss 1.2690E+01, penalty 1.2454E-12, cost 1.2690E+01, time   0.01s[K
[52d34630]   batch   132/40434, avg_loss 1.2704E+01, penalty 1.4349E-12, cost 1.2704E+01, time   0.01s[K
[52d34630]   batch   133/40434, avg_loss 1.2563E+01, penalty 1.2145E-12, cost 1.2563E+01, time   0.01s[K
[52d34630]   batch   134/40434, avg_loss 1.1810E+01, penalty 8.9901E-13, cost 1.1810E+01, time   0.01s[K
[52d34630]   batch   135/40434, avg_loss 1.3120E+01, penalty 1.3721E-12, cost 1.3120E+01, time   0.01s[K
[52d34630]   batch   136/40434, avg_loss 1.2000E+01, penalty 1.1831E-12, cost 1.2000E+01, time   0.01s[K
[52d34630]   batch   137/40434, avg_loss 1.2270E+01, penalty 1.2449E-12, cost 1.2270E+01, time   0.01s[K
[52d34630]   batch   138/40434, avg_loss 1.2201E+01, penalty 1.0542E-12, cost 1.2201E+01, time   0.01s[K
[52d34630]   batch   139/40434, avg_loss 1.2197E+01, penalty 1.1192E-12, cost 1.2197E+01, time   0.01s[K
[52d34630]   batch   140/40434, avg_loss 1.2480E+01, penalty 1.2772E-12, cost 1.2480E+01, time   0.01s[K
[52d34630]   batch   141/40434, avg_loss 1.2121E+01, penalty 1.0873E-12, cost 1.2121E+01, time   0.01s[K
[52d34630]   batch   142/40434, avg_loss 1.3695E+01, penalty 1.3432E-12, cost 1.3695E+01, time   0.01s[K
[52d34630]   batch   143/40434, avg_loss 1.2924E+01, penalty 1.1844E-12, cost 1.2924E+01, time   0.01s[K
[52d34630]   batch   144/40434, avg_loss 1.2270E+01, penalty 1.2143E-12, cost 1.2270E+01, time   0.01s[K
[52d34630]   batch   145/40434, avg_loss 1.2384E+01, penalty 1.0867E-12, cost 1.2384E+01, time   0.01s[K
[52d34630]   batch   146/40434, avg_loss 1.2569E+01, penalty 1.3103E-12, cost 1.2569E+01, time   0.01s[K
[52d34630]   batch   147/40434, avg_loss 1.1777E+01, penalty 1.0563E-12, cost 1.1777E+01, time   0.01s[K
[52d34630]   batch   148/40434, avg_loss 1.2584E+01, penalty 1.2464E-12, cost 1.2584E+01, time   0.01s[K
[52d34630]   batch   149/40434, avg_loss 1.1769E+01, penalty 8.9666E-13, cost 1.1769E+01, time   0.01s[K
[52d34630]   batch   150/40434, avg_loss 1.1966E+01, penalty 1.2475E-12, cost 1.1966E+01, time   0.01s[K
[52d34630]   batch   151/40434, avg_loss 1.2459E+01, penalty 1.0880E-12, cost 1.2459E+01, time   0.01s[K
[52d34630]   batch   152/40434, avg_loss 1.2785E+01, penalty 1.4060E-12, cost 1.2785E+01, time   0.01s[K
[52d34630]   batch   153/40434, avg_loss 1.2950E+01, penalty 1.4029E-12, cost 1.2950E+01, time   0.01s[K
[52d34630]   batch   154/40434, avg_loss 1.5567E+01, penalty 1.3087E-12, cost 1.5567E+01, time   0.01s[K
[52d34630]   batch   155/40434, avg_loss 1.3606E+01, penalty 1.4671E-12, cost 1.3606E+01, time   0.01s[K
[52d34630]   batch   156/40434, avg_loss 1.2306E+01, penalty 1.3738E-12, cost 1.2306E+01, time   0.01s[K
[52d34630]   batch   157/40434, avg_loss 1.2416E+01, penalty 1.3088E-12, cost 1.2416E+01, time   0.01s[K
[52d34630]   batch   158/40434, avg_loss 1.2549E+01, penalty 1.2142E-12, cost 1.2549E+01, time   0.01s[K
[52d34630]   batch   159/40434, avg_loss 1.2846E+01, penalty 1.3407E-12, cost 1.2846E+01, time   0.01s[K
[52d34630]   batch   160/40434, avg_loss 1.2793E+01, penalty 1.4673E-12, cost 1.2793E+01, time   0.01s[K
[52d34630]   batch   161/40434, avg_loss 1.2305E+01, penalty 1.3744E-12, cost 1.2305E+01, time   0.01s[K
[52d34630]   batch   162/40434, avg_loss 1.2947E+01, penalty 1.5972E-12, cost 1.2947E+01, time   0.01s[K
[52d34630]   batch   163/40434, avg_loss 1.2162E+01, penalty 1.2150E-12, cost 1.2162E+01, time   0.01s[K
[52d34630]   batch   164/40434, avg_loss 1.2885E+01, penalty 1.3096E-12, cost 1.2885E+01, time   0.01s[K
[52d34630]   batch   165/40434, avg_loss 1.2667E+01, penalty 1.3737E-12, cost 1.2667E+01, time   0.01s[K
[52d34630]   batch   166/40434, avg_loss 1.2297E+01, penalty 1.2455E-12, cost 1.2297E+01, time   0.01s[K
[52d34630]   batch   167/40434, avg_loss 1.1891E+01, penalty 8.9609E-13, cost 1.1891E+01, time   0.01s[K
[52d34630]   batch   168/40434, avg_loss 1.1999E+01, penalty 1.1187E-12, cost 1.1999E+01, time   0.01s[K
[52d34630]   batch   169/40434, avg_loss 1.3083E+01, penalty 1.5306E-12, cost 1.3083E+01, time   0.01s[K
[52d34630]   batch   170/40434, avg_loss 1.3207E+01, penalty 1.6253E-12, cost 1.3207E+01, time   0.01s[K
[52d34630]   batch   171/40434, avg_loss 1.2800E+01, penalty 1.4995E-12, cost 1.2800E+01, time   0.01s[K
[52d34630]   batch   172/40434, avg_loss 1.2520E+01, penalty 1.2784E-12, cost 1.2520E+01, time   0.01s[K
[52d34630]   batch   173/40434, avg_loss 1.2137E+01, penalty 1.0872E-12, cost 1.2137E+01, time   0.01s[K
[52d34630]   batch   174/40434, avg_loss 1.2260E+01, penalty 1.2451E-12, cost 1.2260E+01, time   0.01s[K
[52d34630]   batch   175/40434, avg_loss 1.2182E+01, penalty 1.1826E-12, cost 1.2182E+01, time   0.01s[K
[52d34630]   batch   176/40434, avg_loss 1.3020E+01, penalty 1.5006E-12, cost 1.3020E+01, time   0.01s[K
[52d34630]   batch   177/40434, avg_loss 1.2051E+01, penalty 9.9316E-13, cost 1.2051E+01, time   0.01s[K
[52d34630]   batch   178/40434, avg_loss 1.2187E+01, penalty 1.1838E-12, cost 1.2187E+01, time   0.01s[K
[52d34630]   batch   179/40434, avg_loss 1.2541E+01, penalty 1.3411E-12, cost 1.2541E+01, time   0.01s[K
[52d34630]   batch   180/40434, avg_loss 1.2668E+01, penalty 1.4041E-12, cost 1.2668E+01, time   0.01s[K
