[0fa6a4e3]   size: 215652
[0fa6a4e3]   split: valid
[0fa6a4e3]   timestamp: 1693212627.2210078
[0fa6a4e3]   type: entity_ranking
[0fa6a4e3] Finished evaluating on valid split.
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00235.pt...
[792063f5] Removing old checkpoint kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00234.pt...
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_best.pt...
[792063f5] Starting epoch 236...

[792063f5]   batch   118/40434, avg_loss 1.5935E+01, penalty 1.7306E-07, cost 1.5935E+01, time   0.01s[K
[792063f5]   batch   119/40434, avg_loss 1.5987E+01, penalty 1.9897E-07, cost 1.5987E+01, time   0.01s[K
[792063f5]   batch   120/40434, avg_loss 1.5675E+01, penalty 1.3166E-07, cost 1.5675E+01, time   0.01s[K
[792063f5]   batch   121/40434, avg_loss 1.6003E+01, penalty 1.8083E-07, cost 1.6003E+01, time   0.01s[K
[792063f5]   batch   122/40434, avg_loss 1.5635E+01, penalty 1.3559E-07, cost 1.5635E+01, time   0.01s[K
[792063f5]   batch   123/40434, avg_loss 1.6099E+01, penalty 1.8072E-07, cost 1.6099E+01, time   0.01s[K
[792063f5]   batch   124/40434, avg_loss 1.5730E+01, penalty 1.6907E-07, cost 1.5730E+01, time   0.01s[K
[792063f5]   batch   125/40434, avg_loss 1.5966E+01, penalty 1.6957E-07, cost 1.5966E+01, time   0.01s[K
[792063f5]   batch   126/40434, avg_loss 1.5194E+01, penalty 1.3955E-07, cost 1.5194E+01, time   0.01s[K
[792063f5]   batch   127/40434, avg_loss 1.5467E+01, penalty 1.3182E-07, cost 1.5467E+01, time   0.01s[K
[792063f5]   batch   128/40434, avg_loss 1.5926E+01, penalty 1.6924E-07, cost 1.5926E+01, time   0.01s[K
[792063f5]   batch   129/40434, avg_loss 1.5414E+01, penalty 1.3888E-07, cost 1.5414E+01, time   0.01s[K
[792063f5]   batch   130/40434, avg_loss 1.6071E+01, penalty 1.6924E-07, cost 1.6071E+01, time   0.01s[K
[792063f5]   batch   131/40434, avg_loss 1.5692E+01, penalty 1.3937E-07, cost 1.5692E+01, time   0.01s[K
[792063f5]   batch   132/40434, avg_loss 1.5854E+01, penalty 1.5043E-07, cost 1.5854E+01, time   0.01s[K
[792063f5]   batch   133/40434, avg_loss 1.5639E+01, penalty 1.4304E-07, cost 1.5639E+01, time   0.01s[K
[792063f5]   batch   134/40434, avg_loss 1.5737E+01, penalty 1.5068E-07, cost 1.5737E+01, time   0.01s[K
[792063f5]   batch   135/40434, avg_loss 1.6074E+01, penalty 1.4272E-07, cost 1.6074E+01, time   0.01s[K
[792063f5]   batch   136/40434, avg_loss 1.5528E+01, penalty 1.3916E-07, cost 1.5528E+01, time   0.01s[K
[792063f5]   batch   137/40434, avg_loss 1.5758E+01, penalty 1.4278E-07, cost 1.5758E+01, time   0.01s[K
[792063f5]   batch   138/40434, avg_loss 1.5601E+01, penalty 1.5434E-07, cost 1.5601E+01, time   0.01s[K
[792063f5]   batch   139/40434, avg_loss 1.5782E+01, penalty 1.5030E-07, cost 1.5782E+01, time   0.01s[K
[792063f5]   batch   140/40434, avg_loss 1.6179E+01, penalty 1.7265E-07, cost 1.6179E+01, time   0.01s[K
[792063f5]   batch   141/40434, avg_loss 1.5793E+01, penalty 1.6158E-07, cost 1.5793E+01, time   0.01s[K
[792063f5]   batch   142/40434, avg_loss 1.6311E+01, penalty 1.8817E-07, cost 1.6311E+01, time   0.01s[K
[792063f5]   batch   143/40434, avg_loss 1.5638E+01, penalty 1.5415E-07, cost 1.5638E+01, time   0.01s[K
[792063f5]   batch   144/40434, avg_loss 1.6064E+01, penalty 1.8447E-07, cost 1.6064E+01, time   0.01s[K
[792063f5]   batch   145/40434, avg_loss 1.5167E+01, penalty 1.3941E-07, cost 1.5167E+01, time   0.01s[K
[792063f5]   batch   146/40434, avg_loss 1.6224E+01, penalty 1.5452E-07, cost 1.6224E+01, time   0.01s[K
[792063f5]   batch   147/40434, avg_loss 1.5732E+01, penalty 1.5064E-07, cost 1.5732E+01, time   0.01s[K
[792063f5]   batch   148/40434, avg_loss 1.6096E+01, penalty 1.7338E-07, cost 1.6096E+01, time   0.01s[K
[792063f5]   batch   149/40434, avg_loss 1.5451E+01, penalty 1.3936E-07, cost 1.5451E+01, time   0.01s[K
[792063f5]   batch   150/40434, avg_loss 1.5952E+01, penalty 1.5753E-07, cost 1.5952E+01, time   0.01s[K
[792063f5]   batch   151/40434, avg_loss 1.5612E+01, penalty 1.1675E-07, cost 1.5612E+01, time   0.01s[K
[792063f5]   batch   152/40434, avg_loss 1.4953E+01, penalty 1.0532E-07, cost 1.4953E+01, time   0.01s[K
[792063f5]   batch   153/40434, avg_loss 1.5726E+01, penalty 1.5058E-07, cost 1.5726E+01, time   0.01s[K
[792063f5]   batch   154/40434, avg_loss 1.5997E+01, penalty 1.5445E-07, cost 1.5997E+01, time   0.01s[K
[792063f5]   batch   155/40434, avg_loss 1.5538E+01, penalty 1.3929E-07, cost 1.5538E+01, time   0.01s[K
[792063f5]   batch   156/40434, avg_loss 1.6188E+01, penalty 1.6506E-07, cost 1.6188E+01, time   0.01s[K
[792063f5]   batch   157/40434, avg_loss 1.5761E+01, penalty 1.2770E-07, cost 1.5761E+01, time   0.01s[K
[792063f5]   batch   158/40434, avg_loss 1.6140E+01, penalty 1.3173E-07, cost 1.6140E+01, time   0.01s[K
[792063f5]   batch   159/40434, avg_loss 1.6131E+01, penalty 1.6928E-07, cost 1.6131E+01, time   0.01s[K
[792063f5]   batch   160/40434, avg_loss 1.5900E+01, penalty 1.5432E-07, cost 1.5900E+01, time   0.01s[K
[792063f5]   batch   161/40434, avg_loss 1.5886E+01, penalty 1.5383E-07, cost 1.5886E+01, time   0.01s[K
[792063f5]   batch   162/40434, avg_loss 1.5451E+01, penalty 1.3536E-07, cost 1.5451E+01, time   0.01s[K
[792063f5]   batch   163/40434, avg_loss 1.6085E+01, penalty 1.7691E-07, cost 1.6085E+01, time   0.01s[K
[792063f5]   batch   164/40434, avg_loss 1.5739E+01, penalty 1.6935E-07, cost 1.5739E+01, time   0.01s[K
[792063f5]   batch   165/40434, avg_loss 1.5269E+01, penalty 1.4278E-07, cost 1.5269E+01, time   0.01s[K
[792063f5]   batch   166/40434, avg_loss 1.6145E+01, penalty 1.8063E-07, cost 1.6145E+01, time   0.01s[K
[792063f5]   batch   167/40434, avg_loss 1.5709E+01, penalty 1.5382E-07, cost 1.5709E+01, time   0.01s[K
[792063f5]   batch   168/40434, avg_loss 1.5253E+01, penalty 1.2037E-07, cost 1.5253E+01, time   0.01s[K
[792063f5]   batch   169/40434, avg_loss 1.6147E+01, penalty 1.7725E-07, cost 1.6147E+01, time   0.01s[K
[792063f5]   batch   170/40434, avg_loss 1.6327E+01, penalty 1.6600E-07, cost 1.6327E+01, time   0.01s[K
[792063f5]   batch   171/40434, avg_loss 1.5835E+01, penalty 1.3514E-07, cost 1.5835E+01, time   0.01s[K
[792063f5]   batch   172/40434, avg_loss 1.5700E+01, penalty 1.3943E-07, cost 1.5700E+01, time   0.01s[K
[792063f5]   batch   173/40434, avg_loss 1.5691E+01, penalty 1.3895E-07, cost 1.5691E+01, time   0.01s[K
[792063f5]   batch   174/40434, avg_loss 1.5356E+01, penalty 1.5457E-07, cost 1.5356E+01, time   0.01s[K
[792063f5]   batch   175/40434, avg_loss 1.5563E+01, penalty 1.3597E-07, cost 1.5563E+01, time   0.01s[K
[792063f5]   batch   176/40434, avg_loss 1.5912E+01, penalty 1.5829E-07, cost 1.5912E+01, time   0.01s[K
[792063f5]   batch   177/40434, avg_loss 1.5189E+01, penalty 1.2796E-07, cost 1.5189E+01, time   0.01s[K
[792063f5]   batch   178/40434, avg_loss 1.5984E+01, penalty 1.3933E-07, cost 1.5984E+01, time   0.01s[K
[792063f5]   batch   179/40434, avg_loss 1.5951E+01, penalty 1.5412E-07, cost 1.5951E+01, time   0.01s[K
[792063f5]   batch   180/40434, avg_loss 1.5998E+01, penalty 1.4689E-07, cost 1.5998E+01, time   0.01s[K
[792063f5]   batch   181/40434, avg_loss 1.6027E+01, penalty 1.8069E-07, cost 1.6027E+01, time   0.01s[K
[792063f5]   batch   182/40434, avg_loss 1.6425E+01, penalty 1.8820E-07, cost 1.6425E+01, time   0.01s[K
[792063f5]   batch   183/40434, avg_loss 1.6214E+01, penalty 1.6167E-07, cost 1.6214E+01, time   0.01s[K
[792063f5]   batch   184/40434, avg_loss 1.6296E+01, penalty 1.6956E-07, cost 1.6296E+01, time   0.01s[K
[792063f5]   batch   185/40434, avg_loss 1.6678E+01, penalty 2.0338E-07, cost 1.6678E+01, time   0.01s[K
[792063f5]   batch   186/40434, avg_loss 1.5769E+01, penalty 1.5043E-07, cost 1.5769E+01, time   0.01s[K
[792063f5]   batch   187/40434, avg_loss 1.5675E+01, penalty 1.5050E-07, cost 1.5675E+01, time   0.01s[K
[792063f5]   batch   188/40434, avg_loss 1.6075E+01, penalty 1.6549E-07, cost 1.6075E+01, time   0.01s[K
[792063f5]   batch   189/40434, avg_loss 1.5503E+01, penalty 1.4677E-07, cost 1.5503E+01, time   0.01s[K
[792063f5]   batch   190/40434, avg_loss 1.6224E+01, penalty 1.6962E-07, cost 1.6224E+01, time   0.01s[K
[792063f5]   batch   191/40434, avg_loss 1.5312E+01, penalty 1.4310E-07, cost 1.5312E+01, time   0.01s[K
[792063f5]   batch   192/40434, avg_loss 1.5599E+01, penalty 1.3553E-07, cost 1.5599E+01, time   0.01s[K
[792063f5]   batch   193/40434, avg_loss 1.5783E+01, penalty 1.7295E-07, cost 1.5783E+01, time   0.01s[K
[792063f5]   batch   194/40434, avg_loss 1.5689E+01, penalty 1.5059E-07, cost 1.5689E+01, time   0.01s[K
[792063f5]   batch   195/40434, avg_loss 1.6084E+01, penalty 1.4671E-07, cost 1.6084E+01, time   0.01s[K
[792063f5]   batch   196/40434, avg_loss 1.5962E+01, penalty 1.5423E-07, cost 1.5962E+01, time   0.01s[K
[792063f5]   batch   197/40434, avg_loss 1.6043E+01, penalty 1.5812E-07, cost 1.6043E+01, time   0.01s[K
[792063f5]   batch   198/40434, avg_loss 1.5578E+01, penalty 1.3169E-07, cost 1.5578E+01, time   0.01s[K
[792063f5]   batch   199/40434, avg_loss 1.6228E+01, penalty 1.3939E-07, cost 1.6228E+01, time   0.01s[K
[792063f5]   batch   200/40434, avg_loss 1.5837E+01, penalty 1.5388E-07, cost 1.5837E+01, time   0.01s[K
[792063f5]   batch   201/40434, avg_loss 1.5188E+01, penalty 1.3565E-07, cost 1.5188E+01, time   0.01s[K
[792063f5]   batch   202/40434, avg_loss 1.5560E+01, penalty 1.7283E-07, cost 1.5560E+01, time   0.01s[K
[792063f5]   batch   203/40434, avg_loss 1.6047E+01, penalty 1.5786E-07, cost 1.6047E+01, time   0.01s[K
[792063f5]   batch   204/40434, avg_loss 1.6299E+01, penalty 1.5779E-07, cost 1.6299E+01, time   0.01s[K
[792063f5]   batch   205/40434, avg_loss 1.6462E+01, penalty 1.8407E-07, cost 1.6462E+01, time   0.01s[K
[792063f5]   batch   206/40434, avg_loss 1.5682E+01, penalty 1.4292E-07, cost 1.5682E+01, time   0.01s[K
[792063f5]   batch   207/40434, avg_loss 1.5631E+01, penalty 1.4336E-07, cost 1.5631E+01, time   0.01s[K
