[98972361]   size: 5175638
[98972361]   split: train
[98972361]   timestamp: 1693212599.0646005
[98972361]   type: 1vsAll
[98972361] Finished epoch 8.
[98972361] Saving checkpoint to kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00008.pt...
[98972361] Removing old checkpoint kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00007.pt...
[98972361] Starting epoch 9...

[98972361]   batch   134/40434, avg_loss 1.6467E+01, penalty 7.7474E-08, cost 1.6467E+01, time   0.01s[K
[98972361]   batch   135/40434, avg_loss 1.6035E+01, penalty 7.5886E-08, cost 1.6035E+01, time   0.01s[K
[98972361]   batch   136/40434, avg_loss 1.6104E+01, penalty 6.5157E-08, cost 1.6104E+01, time   0.01s[K
[98972361]   batch   137/40434, avg_loss 1.5705E+01, penalty 6.4021E-08, cost 1.5705E+01, time   0.01s[K
[98972361]   batch   138/40434, avg_loss 1.6572E+01, penalty 6.8953E-08, cost 1.6572E+01, time   0.01s[K
[98972361]   batch   139/40434, avg_loss 1.6229E+01, penalty 7.3299E-08, cost 1.6229E+01, time   0.01s[K
[98972361]   batch   140/40434, avg_loss 1.5311E+01, penalty 5.9089E-08, cost 1.5311E+01, time   0.01s[K
[98972361]   batch   141/40434, avg_loss 1.6590E+01, penalty 7.5233E-08, cost 1.6590E+01, time   0.01s[K
[98972361]   batch   142/40434, avg_loss 1.6039E+01, penalty 7.0452E-08, cost 1.6039E+01, time   0.01s[K
[98972361]   batch   143/40434, avg_loss 1.6179E+01, penalty 7.1380E-08, cost 1.6179E+01, time   0.01s[K
[98972361]   batch   144/40434, avg_loss 1.5678E+01, penalty 6.5256E-08, cost 1.5678E+01, time   0.01s[K
[98972361]   batch   145/40434, avg_loss 1.6260E+01, penalty 7.0267E-08, cost 1.6260E+01, time   0.01s[K
[98972361]   batch   146/40434, avg_loss 1.6259E+01, penalty 6.5754E-08, cost 1.6259E+01, time   0.01s[K
[98972361]   batch   147/40434, avg_loss 1.5725E+01, penalty 6.7396E-08, cost 1.5725E+01, time   0.01s[K
[98972361]   batch   148/40434, avg_loss 1.6363E+01, penalty 7.6145E-08, cost 1.6363E+01, time   0.01s[K
[98972361]   batch   149/40434, avg_loss 1.5979E+01, penalty 6.6223E-08, cost 1.5979E+01, time   0.01s[K
[98972361]   batch   150/40434, avg_loss 1.6477E+01, penalty 7.2248E-08, cost 1.6477E+01, time   0.01s[K
[98972361]   batch   151/40434, avg_loss 1.5774E+01, penalty 6.5359E-08, cost 1.5774E+01, time   0.01s[K
[98972361]   batch   152/40434, avg_loss 1.5857E+01, penalty 6.7085E-08, cost 1.5857E+01, time   0.01s[K
[98972361]   batch   153/40434, avg_loss 1.6543E+01, penalty 7.4038E-08, cost 1.6543E+01, time   0.01s[K
[98972361]   batch   154/40434, avg_loss 1.6427E+01, penalty 7.0792E-08, cost 1.6427E+01, time   0.01s[K
