job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,distmult.entity_embedder.regularize_weight,distmult.relation_embedder.regularize_weight,distmult.entity_embedder.dropout,distmult.relation_embedder.dropout
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0335720248638339,64,1a981694,512,negative_sampling,RMSprop,kl,0.007006423156058416,6,256,lp,False,0.006967141915345112,1.6624700530023803e-15,0.3903265758417547,0.08454067632555962
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0001880132655741,65,cfee7904,128,KvsAll,Adam,kl,0.6300030156885619,10,64,,True,1.0464470217422987e-12,7.103920803340063e-11,0.1358898445032537,0.4296398553997278
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0579270673300834,66,3a259b45,128,1vsAll,Adamax,kl,0.011640576054521698,7,128,lp,False,6.703928428533879e-14,2.3737610319254847e-16,0.08276389352977276,0.4724352383054793
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0331583332077545,67,7905d7b6,512,KvsAll,AdamW,kl,0.379758850314278,3,32,lp,True,6.539528308869652e-06,0.026026718877712223,0.32845876924693584,0.002579782623797655
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0075447313373127,68,5c096fe1,512,KvsAll,RMSprop,se,0.08870830446970138,10,64,,False,6.531084716911293e-10,2.66231137021716e-12,0.41146588092669845,0.2988484678789973
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0070042332459819,69,9df03d6a,128,negative_sampling,Adadelta,bce,0.0008682783103212518,6,512,lp,True,1.0601510413282123e-19,2.0769112475271615e-07,0.15795993572100997,0.20644765067845583
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0504678422905164,70,3b4734c1,128,1vsAll,AdamW,se,0.0004679938718367477,4,256,lp,False,8.651356939388362e-18,4.394417272165523e-09,0.4479628591798246,0.10630085924640298
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0189150806061477,71,1d6cd56e,256,negative_sampling,Adadelta,kl,0.042125367441256695,8,64,lp,True,8.915641716716874e-07,9.814372561648845e-14,0.20130048086866736,0.38839899795129895
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0070357154943529,72,312b993c,512,1vsAll,RMSprop,se,0.21129549582250398,5,128,lp,False,0.004506375630901827,0.0001018410659238115,0.05774509347975254,0.18466718401759863
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0580024387729184,73,b11687ab,256,negative_sampling,Adamax,kl,0.00570525751615576,9,512,,True,2.7616208980876515e-12,3.7874458567423004e-19,0.3122214023023844,0.34031371120363474
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.0292499177780714,74,7fb317ce,256,1vsAll,RMSprop,bce,0.04616761846186132,9,256,lp,False,6.707294232435684e-16,1.635756559103518e-20,0.4515611049719155,0.01515266951173544
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0459856886188751,75,18276c7b,512,KvsAll,AdamW,kl,0.00045226049402925594,5,64,,True,0.00027205284267201924,1.7908072874469388e-06,0.19818676682189107,0.4833010444417596
6e2f1919,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0424232307682796,76,9ac9a71a,256,negative_sampling,Adam,kl,0.005904097729220823,8,128,lp,False,2.1719093736289741e-10,2.8856088305930354e-15,0.062443881295621395,0.21706931898370385
